PdH;Partei der Humanisten;1;Die EU soll eigene Steuern erheben dürfen.;stimme zu;1
MENSCHLICHE WELT;Menschliche Welt - für das Wohl und Glücklichsein aller;1;Die EU soll eigene Steuern erheben dürfen.;stimme nicht zu;-1
DKP;Deutsche Kommunistische Partei;1;Die EU soll eigene Steuern erheben dürfen.;stimme nicht zu;-1
MLPD;Marxistisch-Leninistische Partei Deutschlands;1;Die EU soll eigene Steuern erheben dürfen.;stimme nicht zu;-1
SGP;Sozialistische Gleichheitspartei, Vierte Internationale;1;Die EU soll eigene Steuern erheben dürfen.;stimme nicht zu;-1
ABG;Aktion Bürger für Gerechtigkeit;1;Die EU soll eigene Steuern erheben dürfen.;stimme nicht zu;-1
dieBasis;Basisdemokratische Partei Deutschland;1;Die EU soll eigene Steuern erheben dürfen.;stimme nicht zu;-1
BÜNDNIS DEUTSCHLAND;BÜNDNIS DEUTSCHLAND;1;Die EU soll eigene Steuern erheben dürfen.;stimme nicht zu;-1
BSW;Bündnis Sahra Wagenknecht - Vernunft und Gerechtigkeit;1;Die EU soll eigene Steuern erheben dürfen.;stimme nicht zu;-1
DAVA;Demokratische Allianz für Vielfalt und Aufbruch;1;Die EU soll eigene Steuern erheben dürfen.;stimme nicht zu;-1
KLIMALISTE;Klimaliste Deutschland;1;Die EU soll eigene Steuern erheben dürfen.;stimme zu;1
LETZTE GENERATION;Parlament aufmischen – Stimme der Letzten Generation;1;Die EU soll eigene Steuern erheben dürfen.;neutral;0
PDV;Partei der Vernunft;1;Die EU soll eigene Steuern erheben dürfen.;stimme nicht zu;-1
PdF;Partei des Fortschritts;1;Die EU soll eigene Steuern erheben dürfen.;stimme nicht zu;-1
V-Partei³;V-Partei³ - Partei für Veränderung, Vegetarier und Veganer;1;Die EU soll eigene Steuern erheben dürfen.;stimme nicht zu;-1
CDU / CSU;Christlich Demokratische Union Deutschlands / Christlich-Soziale Union in Bayern e.V.;2;Fahrzeuge mit Verbrennungsmotoren sollen auch nach 2035 in der EU neu zugelassen werden können.;stimme zu;1
GRÜNE;BÜNDNIS 90/DIE GRÜNEN;2;Fahrzeuge mit Verbrennungsmotoren sollen auch nach 2035 in der EU neu zugelassen werden können.;stimme nicht zu;-1
SPD;Sozialdemokratische Partei Deutschlands;2;Fahrzeuge mit Verbrennungsmotoren sollen auch nach 2035 in der EU neu zugelassen werden können.;stimme nicht zu;-1
AfD;Alternative für Deutschland;2;Fahrzeuge mit Verbrennungsmotoren sollen auch nach 2035 in der EU neu zugelassen werden können.;stimme zu;1
DIE LINKE;DIE LINKE;2;Fahrzeuge mit Verbrennungsmotoren sollen auch nach 2035 in der EU neu zugelassen werden können.;stimme nicht zu;-1
FDP;Freie Demokratische Partei;2;Fahrzeuge mit Verbrennungsmotoren sollen auch nach 2035 in der EU neu zugelassen werden können.;stimme zu;1
Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;2;Fahrzeuge mit Verbrennungsmotoren sollen auch nach 2035 in der EU neu zugelassen werden können.;stimme nicht zu;-1
FREIE WÄHLER;FREIE WÄHLER;2;Fahrzeuge mit Verbrennungsmotoren sollen auch nach 2035 in der EU neu zugelassen werden können.;stimme zu;1
Tierschutzpartei;PARTEI MENSCH UMWELT TIERSCHUTZ;2;Fahrzeuge mit Verbrennungsmotoren sollen auch nach 2035 in der EU neu zugelassen werden können.;stimme nicht zu;-1
ÖDP;Ökologisch-Demokratische Partei - Die Naturschutzpartei;2;Fahrzeuge mit Verbrennungsmotoren sollen auch nach 2035 in der EU neu zugelassen werden können.;stimme nicht zu;-1
FAMILIE;Familien-Partei Deutschlands;2;Fahrzeuge mit Verbrennungsmotoren sollen auch nach 2035 in der EU neu zugelassen werden können.;stimme zu;1
Volt;Volt Deutschland;2;Fahrzeuge mit Verbrennungsmotoren sollen auch nach 2035 in der EU neu zugelassen werden können.;stimme nicht zu;-1
PIRATEN;Piratenpartei Deutschland;2;Fahrzeuge mit Verbrennungsmotoren sollen auch nach 2035 in der EU neu zugelassen werden können.;stimme nicht zu;-1
MERA25;MERA25 - Gemeinsam für Europäische Unabhängigkeit;2;Fahrzeuge mit Verbrennungsmotoren sollen auch nach 2035 in der EU neu zugelassen werden können.;stimme nicht zu;-1
HEIMAT;Die Heimat;2;Fahrzeuge mit Verbrennungsmotoren sollen auch nach 2035 in der EU neu zugelassen werden können.;stimme zu;1
TIERSCHUTZ hier!;Aktion Partei für Tierschutz;2;Fahrzeuge mit Verbrennungsmotoren sollen auch nach 2035 in der EU neu zugelassen werden können.;stimme zu;1
Partei für schulmedizinische Verjüngungsforschung;Partei für schulmedizinische Verjüngungsforschung;2;Fahrzeuge mit Verbrennungsmotoren sollen auch nach 2035 in der EU neu zugelassen werden können.;neutral;0
BIG;Bündnis für Innovation & Gerechtigkeit;2;Fahrzeuge mit Verbrennungsmotoren sollen auch nach 2035 in der EU neu zugelassen werden können.;stimme nicht zu;-1
Bündnis C;Bündnis C - Christen für Deutschland;2;Fahrzeuge mit Verbrennungsmotoren sollen auch nach 2035 in der EU neu zugelassen werden können.;stimme zu;1
PdH;Partei der Humanisten;2;Fahrzeuge mit Verbrennungsmotoren sollen auch nach 2035 in der EU neu zugelassen werden können.;stimme zu;1
MENSCHLICHE WELT;Menschliche Welt - für das Wohl und Glücklichsein aller;2;Fahrzeuge mit Verbrennungsmotoren sollen auch nach 2035 in der EU neu zugelassen werden können.;stimme zu;1
DKP;Deutsche Kommunistische Partei;2;Fahrzeuge mit Verbrennungsmotoren sollen auch nach 2035 in der EU neu zugelassen werden können.;stimme nicht zu;-1
MLPD;Marxistisch-Leninistische Partei Deutschlands;2;Fahrzeuge mit Verbrennungsmotoren sollen auch nach 2035 in der EU neu zugelassen werden können.;stimme nicht zu;-1
SGP;Sozialistische Gleichheitspartei, Vierte Internationale;2;Fahrzeuge mit Verbrennungsmotoren sollen auch nach 2035 in der EU neu zugelassen werden können.;stimme zu;1
ABG;Aktion Bürger für Gerechtigkeit;2;Fahrzeuge mit Verbrennungsmotoren sollen auch nach 2035 in der EU neu zugelassen werden können.;stimme zu;1
dieBasis;Basisdemokratische Partei Deutschland;2;Fahrzeuge mit Verbrennungsmotoren sollen auch nach 2035 in der EU neu zugelassen werden können.;stimme zu;1
BÜNDNIS DEUTSCHLAND;BÜNDNIS DEUTSCHLAND;2;Fahrzeuge mit Verbrennungsmotoren sollen auch nach 2035 in der EU neu zugelassen werden können.;stimme zu;1
BSW;Bündnis Sahra Wagenknecht - Vernunft und Gerechtigkeit;2;Fahrzeuge mit Verbrennungsmotoren sollen auch nach 2035 in der EU neu zugelassen werden können.;stimme zu;1
DAVA;Demokratische Allianz für Vielfalt und Aufbruch;2;Fahrzeuge mit Verbrennungsmotoren sollen auch nach 2035 in der EU neu zugelassen werden können.;stimme zu;1
KLIMALISTE;Klimaliste Deutschland;2;Fahrzeuge mit Verbrennungsmotoren sollen auch nach 2035 in der EU neu zugelassen werden können.;stimme nicht zu;-1
LETZTE GENERATION;Parlament aufmischen – Stimme der Letzten Generation;2;Fahrzeuge mit Verbrennungsmotoren sollen auch nach 2035 in der EU neu zugelassen werden können.;stimme nicht zu;-1
PDV;Partei der Vernunft;2;Fahrzeuge mit Verbrennungsmotoren sollen auch nach 2035 in der EU neu zugelassen werden können.;stimme zu;1
PdF;Partei des Fortschritts;2;Fahrzeuge mit Verbrennungsmotoren sollen auch nach 2035 in der EU neu zugelassen werden können.;stimme zu;1
V-Partei³;V-Partei³ - Partei für Veränderung, Vegetarier und Veganer;2;Fahrzeuge mit Verbrennungsmotoren sollen auch nach 2035 in der EU neu zugelassen werden können.;stimme nicht zu;-1
CDU / CSU;Christlich Demokratische Union Deutschlands / Christlich-Soziale Union in Bayern e.V.;3;Die EU soll eine eigene Seenotrettung im Mittelmeer aufbauen.;stimme nicht zu;-1
GRÜNE;BÜNDNIS 90/DIE GRÜNEN;3;Die EU soll eine eigene Seenotrettung im Mittelmeer aufbauen.;stimme zu;1
SPD;Sozialdemokratische Partei Deutschlands;3;Die EU soll eine eigene Seenotrettung im Mittelmeer aufbauen.;stimme zu;1
AfD;Alternative für Deutschland;3;Die EU soll eine eigene Seenotrettung im Mittelmeer aufbauen.;stimme nicht zu;-1
DIE LINKE;DIE LINKE;3;Die EU soll eine eigene Seenotrettung im Mittelmeer aufbauen.;stimme zu;1
FDP;Freie Demokratische Partei;3;Die EU soll eine eigene Seenotrettung im Mittelmeer aufbauen.;stimme zu;1
Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;3;Die EU soll eine eigene Seenotrettung im Mittelmeer aufbauen.;stimme zu;1
FREIE WÄHLER;FREIE WÄHLER;3;Die EU soll eine eigene Seenotrettung im Mittelmeer aufbauen.;stimme zu;1
Tierschutzpartei;PARTEI MENSCH UMWELT TIERSCHUTZ;3;Die EU soll eine eigene Seenotrettung im Mittelmeer aufbauen.;stimme zu;1
ÖDP;Ökologisch-Demokratische Partei - Die Naturschutzpartei;3;Die EU soll eine eigene Seenotrettung im Mittelmeer aufbauen.;stimme zu;1
FAMILIE;Familien-Partei Deutschlands;3;Die EU soll eine eigene Seenotrettung im Mittelmeer aufbauen.;stimme zu;1
Volt;Volt Deutschland;3;Die EU soll eine eigene Seenotrettung im Mittelmeer aufbauen.;stimme zu;1
PIRATEN;Piratenpartei Deutschland;3;Die EU soll eine eigene Seenotrettung im Mittelmeer aufbauen.;stimme nicht zu;-1
MERA25;MERA25 - Gemeinsam für Europäische Unabhängigkeit;3;Die EU soll eine eigene Seenotrettung im Mittelmeer aufbauen.;stimme zu;1
HEIMAT;Die Heimat;3;Die EU soll eine eigene Seenotrettung im Mittelmeer aufbauen.;stimme nicht zu;-1
TIERSCHUTZ hier!;Aktion Partei für Tierschutz;3;Die EU soll eine eigene Seenotrettung im Mittelmeer aufbauen.;stimme zu;1
Partei für schulmedizinische Verjüngungsforschung;Partei für schulmedizinische Verjüngungsforschung;3;Die EU soll eine eigene Seenotrettung im Mittelmeer aufbauen.;neutral;0
BIG;Bündnis für Innovation & Gerechtigkeit;3;Die EU soll eine eigene Seenotrettung im Mittelmeer aufbauen.;stimme zu;1
Bündnis C;Bündnis C - Christen für Deutschland;3;Die EU soll eine eigene Seenotrettung im Mittelmeer aufbauen.;stimme nicht zu;-1
PdH;Partei der Humanisten;3;Die EU soll eine eigene Seenotrettung im Mittelmeer aufbauen.;stimme zu;1
MENSCHLICHE WELT;Menschliche Welt - für das Wohl und Glücklichsein aller;3;Die EU soll eine eigene Seenotrettung im Mittelmeer aufbauen.;stimme zu;1
DKP;Deutsche Kommunistische Partei;3;Die EU soll eine eigene Seenotrettung im Mittelmeer aufbauen.;stimme zu;1
MLPD;Marxistisch-Leninistische Partei Deutschlands;3;Die EU soll eine eigene Seenotrettung im Mittelmeer aufbauen.;stimme zu;1
SGP;Sozialistische Gleichheitspartei, Vierte Internationale;3;Die EU soll eine eigene Seenotrettung im Mittelmeer aufbauen.;stimme zu;1
ABG;Aktion Bürger für Gerechtigkeit;3;Die EU soll eine eigene Seenotrettung im Mittelmeer aufbauen.;stimme nicht zu;-1
dieBasis;Basisdemokratische Partei Deutschland;3;Die EU soll eine eigene Seenotrettung im Mittelmeer aufbauen.;stimme nicht zu;-1
BÜNDNIS DEUTSCHLAND;BÜNDNIS DEUTSCHLAND;3;Die EU soll eine eigene Seenotrettung im Mittelmeer aufbauen.;stimme nicht zu;-1
BSW;Bündnis Sahra Wagenknecht - Vernunft und Gerechtigkeit;3;Die EU soll eine eigene Seenotrettung im Mittelmeer aufbauen.;stimme nicht zu;-1
DAVA;Demokratische Allianz für Vielfalt und Aufbruch;3;Die EU soll eine eigene Seenotrettung im Mittelmeer aufbauen.;stimme zu;1
KLIMALISTE;Klimaliste Deutschland;3;Die EU soll eine eigene Seenotrettung im Mittelmeer aufbauen.;stimme zu;1
LETZTE GENERATION;Parlament aufmischen – Stimme der Letzten Generation;3;Die EU soll eine eigene Seenotrettung im Mittelmeer aufbauen.;stimme zu;1
PDV;Partei der Vernunft;3;Die EU soll eine eigene Seenotrettung im Mittelmeer aufbauen.;stimme nicht zu;-1
PdF;Partei des Fortschritts;3;Die EU soll eine eigene Seenotrettung im Mittelmeer aufbauen.;stimme zu;1
V-Partei³;V-Partei³ - Partei für Veränderung, Vegetarier und Veganer;3;Die EU soll eine eigene Seenotrettung im Mittelmeer aufbauen.;stimme zu;1
CDU / CSU;Christlich Demokratische Union Deutschlands / Christlich-Soziale Union in Bayern e.V.;4;Die Ukraine soll Mitglied der EU werden.;stimme zu;1
GRÜNE;BÜNDNIS 90/DIE GRÜNEN;4;Die Ukraine soll Mitglied der EU werden.;stimme zu;1
SPD;Sozialdemokratische Partei Deutschlands;4;Die Ukraine soll Mitglied der EU werden.;stimme zu;1
AfD;Alternative für Deutschland;4;Die Ukraine soll Mitglied der EU werden.;stimme nicht zu;-1
DIE LINKE;DIE LINKE;4;Die Ukraine soll Mitglied der EU werden.;stimme nicht zu;-1
FDP;Freie Demokratische Partei;4;Die Ukraine soll Mitglied der EU werden.;stimme zu;1
Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;4;Die Ukraine soll Mitglied der EU werden.;neutral;0
FREIE WÄHLER;FREIE WÄHLER;4;Die Ukraine soll Mitglied der EU werden.;stimme zu;1
Tierschutzpartei;PARTEI MENSCH UMWELT TIERSCHUTZ;4;Die Ukraine soll Mitglied der EU werden.;stimme zu;1
ÖDP;Ökologisch-Demokratische Partei - Die Naturschutzpartei;4;Die Ukraine soll Mitglied der EU werden.;neutral;0
FAMILIE;Familien-Partei Deutschlands;4;Die Ukraine soll Mitglied der EU werden.;stimme zu;1
Volt;Volt Deutschland;4;Die Ukraine soll Mitglied der EU werden.;stimme zu;1
PIRATEN;Piratenpartei Deutschland;4;Die Ukraine soll Mitglied der EU werden.;stimme zu;1
MERA25;MERA25 - Gemeinsam für Europäische Unabhängigkeit;4;Die Ukraine soll Mitglied der EU werden.;neutral;0
HEIMAT;Die Heimat;4;Die Ukraine soll Mitglied der EU werden.;stimme nicht zu;-1
TIERSCHUTZ hier!;Aktion Partei für Tierschutz;4;Die Ukraine soll Mitglied der EU werden.;stimme nicht zu;-1
Partei für schulmedizinische Verjüngungsforschung;Partei für schulmedizinische Verjüngungsforschung;4;Die Ukraine soll Mitglied der EU werden.;neutral;0
BIG;Bündnis für Innovation & Gerechtigkeit;4;Die Ukraine soll Mitglied der EU werden.;stimme nicht zu;-1
Bündnis C;Bündnis C - Christen für Deutschland;4;Die Ukraine soll Mitglied der EU werden.;stimme zu;1
PdH;Partei der Humanisten;4;Die Ukraine soll Mitglied der EU werden.;neutral;0
MENSCHLICHE WELT;Menschliche Welt - für das Wohl und Glücklichsein aller;4;Die Ukraine soll Mitglied der EU werden.;stimme nicht zu;-1
DKP;Deutsche Kommunistische Partei;4;Die Ukraine soll Mitglied der EU werden.;stimme nicht zu;-1
MLPD;Marxistisch-Leninistische Partei Deutschlands;4;Die Ukraine soll Mitglied der EU werden.;stimme nicht zu;-1
SGP;Sozialistische Gleichheitspartei, Vierte Internationale;4;Die Ukraine soll Mitglied der EU werden.;stimme nicht zu;-1
ABG;Aktion Bürger für Gerechtigkeit;4;Die Ukraine soll Mitglied der EU werden.;stimme nicht zu;-1
dieBasis;Basisdemokratische Partei Deutschland;4;Die Ukraine soll Mitglied der EU werden.;stimme nicht zu;-1
BÜNDNIS DEUTSCHLAND;BÜNDNIS DEUTSCHLAND;4;Die Ukraine soll Mitglied der EU werden.;stimme nicht zu;-1
BSW;Bündnis Sahra Wagenknecht - Vernunft und Gerechtigkeit;4;Die Ukraine soll Mitglied der EU werden.;stimme nicht zu;-1
DAVA;Demokratische Allianz für Vielfalt und Aufbruch;4;Die Ukraine soll Mitglied der EU werden.;stimme nicht zu;-1
KLIMALISTE;Klimaliste Deutschland;4;Die Ukraine soll Mitglied der EU werden.;neutral;0
LETZTE GENERATION;Parlament aufmischen – Stimme der Letzten Generation;4;Die Ukraine soll Mitglied der EU werden.;neutral;0
PDV;Partei der Vernunft;4;Die Ukraine soll Mitglied der EU werden.;stimme nicht zu;-1
PdF;Partei des Fortschritts;4;Die Ukraine soll Mitglied der EU werden.;stimme zu;1
V-Partei³;V-Partei³ - Partei für Veränderung, Vegetarier und Veganer;4;Die Ukraine soll Mitglied der EU werden.;neutral;0
CDU / CSU;Christlich Demokratische Union Deutschlands / Christlich-Soziale Union in Bayern e.V.;5;Die EU soll vorrangig ökologische Landwirtschaft fördern.;stimme nicht zu;-1
GRÜNE;BÜNDNIS 90/DIE GRÜNEN;5;Die EU soll vorrangig ökologische Landwirtschaft fördern.;stimme zu;1
SPD;Sozialdemokratische Partei Deutschlands;5;Die EU soll vorrangig ökologische Landwirtschaft fördern.;stimme nicht zu;-1
AfD;Alternative für Deutschland;5;Die EU soll vorrangig ökologische Landwirtschaft fördern.;stimme nicht zu;-1
DIE LINKE;DIE LINKE;5;Die EU soll vorrangig ökologische Landwirtschaft fördern.;stimme zu;1
FDP;Freie Demokratische Partei;5;Die EU soll vorrangig ökologische Landwirtschaft fördern.;stimme nicht zu;-1
Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;5;Die EU soll vorrangig ökologische Landwirtschaft fördern.;stimme zu;1
FREIE WÄHLER;FREIE WÄHLER;5;Die EU soll vorrangig ökologische Landwirtschaft fördern.;neutral;0
Tierschutzpartei;PARTEI MENSCH UMWELT TIERSCHUTZ;5;Die EU soll vorrangig ökologische Landwirtschaft fördern.;stimme zu;1
ÖDP;Ökologisch-Demokratische Partei - Die Naturschutzpartei;5;Die EU soll vorrangig ökologische Landwirtschaft fördern.;stimme zu;1
FAMILIE;Familien-Partei Deutschlands;5;Die EU soll vorrangig ökologische Landwirtschaft fördern.;stimme nicht zu;-1
Volt;Volt Deutschland;5;Die EU soll vorrangig ökologische Landwirtschaft fördern.;stimme zu;1
PIRATEN;Piratenpartei Deutschland;5;Die EU soll vorrangig ökologische Landwirtschaft fördern.;stimme zu;1
MERA25;MERA25 - Gemeinsam für Europäische Unabhängigkeit;5;Die EU soll vorrangig ökologische Landwirtschaft fördern.;stimme zu;1
HEIMAT;Die Heimat;5;Die EU soll vorrangig ökologische Landwirtschaft fördern.;stimme zu;1
TIERSCHUTZ hier!;Aktion Partei für Tierschutz;5;Die EU soll vorrangig ökologische Landwirtschaft fördern.;stimme zu;1
Partei für schulmedizinische Verjüngungsforschung;Partei für schulmedizinische Verjüngungsforschung;5;Die EU soll vorrangig ökologische Landwirtschaft fördern.;neutral;0
BIG;Bündnis für Innovation & Gerechtigkeit;5;Die EU soll vorrangig ökologische Landwirtschaft fördern.;stimme zu;1
Bündnis C;Bündnis C - Christen für Deutschland;5;Die EU soll vorrangig ökologische Landwirtschaft fördern.;stimme nicht zu;-1
PdH;Partei der Humanisten;5;Die EU soll vorrangig ökologische Landwirtschaft fördern.;stimme nicht zu;-1
MENSCHLICHE WELT;Menschliche Welt - für das Wohl und Glücklichsein aller;5;Die EU soll vorrangig ökologische Landwirtschaft fördern.;stimme zu;1
DKP;Deutsche Kommunistische Partei;5;Die EU soll vorrangig ökologische Landwirtschaft fördern.;stimme zu;1
MLPD;Marxistisch-Leninistische Partei Deutschlands;5;Die EU soll vorrangig ökologische Landwirtschaft fördern.;stimme zu;1
SGP;Sozialistische Gleichheitspartei, Vierte Internationale;5;Die EU soll vorrangig ökologische Landwirtschaft fördern.;stimme zu;1
ABG;Aktion Bürger für Gerechtigkeit;5;Die EU soll vorrangig ökologische Landwirtschaft fördern.;stimme zu;1
dieBasis;Basisdemokratische Partei Deutschland;5;Die EU soll vorrangig ökologische Landwirtschaft fördern.;stimme zu;1
BÜNDNIS DEUTSCHLAND;BÜNDNIS DEUTSCHLAND;5;Die EU soll vorrangig ökologische Landwirtschaft fördern.;stimme nicht zu;-1
BSW;Bündnis Sahra Wagenknecht - Vernunft und Gerechtigkeit;5;Die EU soll vorrangig ökologische Landwirtschaft fördern.;stimme nicht zu;-1
DAVA;Demokratische Allianz für Vielfalt und Aufbruch;5;Die EU soll vorrangig ökologische Landwirtschaft fördern.;stimme zu;1
KLIMALISTE;Klimaliste Deutschland;5;Die EU soll vorrangig ökologische Landwirtschaft fördern.;stimme zu;1
LETZTE GENERATION;Parlament aufmischen – Stimme der Letzten Generation;5;Die EU soll vorrangig ökologische Landwirtschaft fördern.;stimme zu;1
PDV;Partei der Vernunft;5;Die EU soll vorrangig ökologische Landwirtschaft fördern.;stimme nicht zu;-1
PdF;Partei des Fortschritts;5;Die EU soll vorrangig ökologische Landwirtschaft fördern.;stimme zu;1
V-Partei³;V-Partei³ - Partei für Veränderung, Vegetarier und Veganer;5;Die EU soll vorrangig ökologische Landwirtschaft fördern.;stimme zu;1
CDU / CSU;Christlich Demokratische Union Deutschlands / Christlich-Soziale Union in Bayern e.V.;6;In Deutschland soll der Euro durch eine nationale Währung ersetzt werden.;stimme nicht zu;-1
GRÜNE;BÜNDNIS 90/DIE GRÜNEN;6;In Deutschland soll der Euro durch eine nationale Währung ersetzt werden.;stimme nicht zu;-1
SPD;Sozialdemokratische Partei Deutschlands;6;In Deutschland soll der Euro durch eine nationale Währung ersetzt werden.;stimme nicht zu;-1
AfD;Alternative für Deutschland;6;In Deutschland soll der Euro durch eine nationale Währung ersetzt werden.;stimme zu;1
DIE LINKE;DIE LINKE;6;In Deutschland soll der Euro durch eine nationale Währung ersetzt werden.;stimme nicht zu;-1
FDP;Freie Demokratische Partei;6;In Deutschland soll der Euro durch eine nationale Währung ersetzt werden.;stimme nicht zu;-1
Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;6;In Deutschland soll der Euro durch eine nationale Währung ersetzt werden.;stimme nicht zu;-1
FREIE WÄHLER;FREIE WÄHLER;6;In Deutschland soll der Euro durch eine nationale Währung ersetzt werden.;stimme nicht zu;-1
Tierschutzpartei;PARTEI MENSCH UMWELT TIERSCHUTZ;6;In Deutschland soll der Euro durch eine nationale Währung ersetzt werden.;stimme nicht zu;-1
ÖDP;Ökologisch-Demokratische Partei - Die Naturschutzpartei;6;In Deutschland soll der Euro durch eine nationale Währung ersetzt werden.;stimme nicht zu;-1
FAMILIE;Familien-Partei Deutschlands;6;In Deutschland soll der Euro durch eine nationale Währung ersetzt werden.;stimme nicht zu;-1
Volt;Volt Deutschland;6;In Deutschland soll der Euro durch eine nationale Währung ersetzt werden.;stimme nicht zu;-1
PIRATEN;Piratenpartei Deutschland;6;In Deutschland soll der Euro durch eine nationale Währung ersetzt werden.;stimme nicht zu;-1
MERA25;MERA25 - Gemeinsam für Europäische Unabhängigkeit;6;In Deutschland soll der Euro durch eine nationale Währung ersetzt werden.;stimme nicht zu;-1
HEIMAT;Die Heimat;6;In Deutschland soll der Euro durch eine nationale Währung ersetzt werden.;stimme zu;1
TIERSCHUTZ hier!;Aktion Partei für Tierschutz;6;In Deutschland soll der Euro durch eine nationale Währung ersetzt werden.;stimme nicht zu;-1
Partei für schulmedizinische Verjüngungsforschung;Partei für schulmedizinische Verjüngungsforschung;6;In Deutschland soll der Euro durch eine nationale Währung ersetzt werden.;neutral;0
BIG;Bündnis für Innovation & Gerechtigkeit;6;In Deutschland soll der Euro durch eine nationale Währung ersetzt werden.;stimme nicht zu;-1
Bündnis C;Bündnis C - Christen für Deutschland;6;In Deutschland soll der Euro durch eine nationale Währung ersetzt werden.;stimme zu;1
PdH;Partei der Humanisten;6;In Deutschland soll der Euro durch eine nationale Währung ersetzt werden.;stimme nicht zu;-1
MENSCHLICHE WELT;Menschliche Welt - für das Wohl und Glücklichsein aller;6;In Deutschland soll der Euro durch eine nationale Währung ersetzt werden.;stimme nicht zu;-1
DKP;Deutsche Kommunistische Partei;6;In Deutschland soll der Euro durch eine nationale Währung ersetzt werden.;neutral;0
MLPD;Marxistisch-Leninistische Partei Deutschlands;6;In Deutschland soll der Euro durch eine nationale Währung ersetzt werden.;neutral;0
SGP;Sozialistische Gleichheitspartei, Vierte Internationale;6;In Deutschland soll der Euro durch eine nationale Währung ersetzt werden.;stimme nicht zu;-1
ABG;Aktion Bürger für Gerechtigkeit;6;In Deutschland soll der Euro durch eine nationale Währung ersetzt werden.;stimme zu;1
dieBasis;Basisdemokratische Partei Deutschland;6;In Deutschland soll der Euro durch eine nationale Währung ersetzt werden.;stimme zu;1
BÜNDNIS DEUTSCHLAND;BÜNDNIS DEUTSCHLAND;6;In Deutschland soll der Euro durch eine nationale Währung ersetzt werden.;stimme nicht zu;-1
BSW;Bündnis Sahra Wagenknecht - Vernunft und Gerechtigkeit;6;In Deutschland soll der Euro durch eine nationale Währung ersetzt werden.;stimme nicht zu;-1
DAVA;Demokratische Allianz für Vielfalt und Aufbruch;6;In Deutschland soll der Euro durch eine nationale Währung ersetzt werden.;stimme nicht zu;-1
KLIMALISTE;Klimaliste Deutschland;6;In Deutschland soll der Euro durch eine nationale Währung ersetzt werden.;stimme nicht zu;-1
LETZTE GENERATION;Parlament aufmischen – Stimme der Letzten Generation;6;In Deutschland soll der Euro durch eine nationale Währung ersetzt werden.;stimme nicht zu;-1
PDV;Partei der Vernunft;6;In Deutschland soll der Euro durch eine nationale Währung ersetzt werden.;stimme zu;1
